"Ref","Qty","Value","Description","MPN","MOUSER","LCSC"
"J17","1","SERIAL","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J18","1","CH1","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J19","1","CH2","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J20","1","CH3","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J21","1","CH4","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J22","1","SERIAL_ALT","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J23","1","PWR","DC Barrel Jack with an internal switch","PJ-102AH","490-PJ-102AH",""
"J24","1","BAT","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"JP1","1","FP_TXD","Jumper, 2-pole, closed/bridged","","",""
"JP2","1","FP_RXD","Jumper, 2-pole, closed/bridged","","",""
"JP3","1","CT1","Jumper, 2-pole, open","","",""
"JP4","1","CT2","Jumper, 2-pole, open","","",""
"JP5","1","CT3","Jumper, 2-pole, open","","",""
"JP6","1","CT4","Jumper, 2-pole, open","","",""
"L1","1","15uH","Inductor with ferrite core","SRR1260-150M","652-SRR1260-150M","C2041333"
"R1, R2, R3, R4, R5, R7, R8, R10, R12, R13, R15, R19","12","10K","Resistor, small symbol","RC0603FR-0710KL","603-RC0603FR-0710KL","C98220"
"R6, R9, R18","3","4.7K","Resistor","RC0603FR-074K7L","603-RC0603FR-074K7L","C99782"
"R11","1","100K","Resistor","RC0603FR-07100KL","603-RC0603FR-07100KL","C14675"
"R14","1","1K","Resistor","RC0603FR-071KL","603-RC0603FR-071KL","C22548"
"R16","1","3.24K","Resistor","RC0603FR-073K24L","603-RC0603FR-073K24L","C273779"
"R17","1","27K","Resistor","RC0603FR-0727KL","603-RC0603FR-0727KL","C114614"
"R20","1","1.5k","Resistor","RC0603FR-071K5L","603-RC0603FR-071K5L","C114668"
"SW1","1","PWR","Switch, single pole double throw","500SSP1S2M6QEA","612-500-A261",""
"U1","1","PCF8574","8 Bit Port/Expander to I2C Bus, DIP/SOIC-16","PCF8574T/3,512","771-PCF85T3512","C1522621"
"U2","1","ESP32-WROOM-32D","RF Module, ESP32-D0WD SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD","ESP32-WROOM-32D-N16","",""
"U3","1","CAT24C256","256 kb CMOS Serial EEPROM, DIP-8/SOIC-8/TSSOP-8/DFN-8","CAT24C256WI-GT3","698-CAT24C256WI-GT3","C79987"
"U4","1","SP3232","Dual RS232 driver/receiver, 5V supply, 120kb/s, 0C-70C","SP3232EEN-L/TR","701-SP3232EEN-L/TR","C9378"
"U5","1","LM2941","LM2941x 1-A Low Dropout Adjustable Regulator","LM2941CSX/NOPB","926-LM2941CSX/NOPB","C512759"
"U6","1","TPS5430DDA","3A, Step Down Swift Converter, Adjustable Output Voltage, 5.5-36V Input Voltage, PowerSO-8","TPS5430DDAR","595-TPS5430DDAR","C9864"
"U7","1","NCP1117LP","1A Low drop-out regulator, Fixed Output 3.3V, SOT-223","NCP1117LPST33T3G","863-NCP1117LPST33T3G","C146799"
